FIRST NAME,LAST NAME,TEAM,NUMBER,POSITION,HEIGHT(METER),WEIGHT(KG),COUNTRY,LAST ATTENDED,AGE(YEARS),BIRTHDATE,DRAFT,EXPERIENCE(YEARS)
Precious,Achiuwa,Toronto Raptors,5,Forward,2.03,102.0,Nigeria,Memphis,22,1999-09-19,2020 R1 Pick 20,1
Steven,Adams,Memphis Grizzlies,4,Center,2.11,120.0,New Zealand,Pittsburgh,28,1993-07-20,2013 R1 Pick 12,8
Bam,Adebayo,Miami Heat,13,Center-Forward,2.06,116.0,USA,Kentucky,24,1997-07-18,2017 R1 Pick 14,4
Santi,Aldama,Memphis Grizzlies,7,Forward-Center,2.11,98.0,Spain,Loyola-Maryland,20,2001-01-10,2021 R1 Pick 30,0
LaMarcus,Aldridge,Brooklyn Nets,21,Center-Forward,2.11,113.0,USA,Texas-Austin,36,1985-07-19,2006 R1 Pick 2,15
Nickeil,Alexander-Walker,New Orleans Pelicans,6,Guard,1.96,93.0,Canada,Virginia Tech,23,1998-09-02,2019 R1 Pick 17,2
Grayson,Allen,Milwaukee Bucks,7,Guard,1.93,90.0,USA,Duke,26,1995-10-08,2018 R1 Pick 21,3
Jarrett,Allen,Cleveland Cavaliers,31,Center,2.08,110.0,USA,Texas-Austin,23,1998-04-21,2017 R1 Pick 22,4
Jose,Alvarado,New Orleans Pelicans,15,Guard,1.83,81.0,USA,Georgia Tech,23,1998-04-12,Undrafted,0
Justin,Anderson,Indiana Pacers,10,Forward-Guard,1.96,105.0,USA,Virginia,28,1993-11-19,2015 R1 Pick 21,5
Kyle,Anderson,Memphis Grizzlies,1,Forward-Guard,2.06,104.0,USA,UCLA,28,1993-09-20,2014 R1 Pick 30,7
Giannis,Antetokounmpo,Milwaukee Bucks,34,Forward,2.11,110.0,Greece,Filathlitikos,27,1994-12-06,2013 R1 Pick 15,8
Thanasis,Antetokounmpo,Milwaukee Bucks,43,Forward,1.98,99.0,Greece,Panathinaikos,29,1992-07-18,2014 R2 Pick 51,3
Carmelo,Anthony,Los Angeles Lakers,7,Forward,2.01,108.0,USA,Syracuse,37,1984-05-29,2003 R1 Pick 3,18
Cole,Anthony,Orlando Magic,50,Guard,1.91,84.0,USA,North Carolina,21,2000-05-15,2020 R1 Pick 15,1
OG,Anunoby,Toronto Raptors,3,Forward,2.01,105.0,United Kingdom,Indiana,24,1997-07-17,2017 R1 Pick 23,4
Ryan,Arcidiacono,New York Knicks,51,Guard,1.91,88.0,USA,Villanova,27,1994-03-26,Undrafted,4
Trevor,Ariza,Los Angeles Lakers,1,Forward,2.03,98.0,USA,UCLA,36,1985-06-30,2004 R2 Pick 43,17
D.J.,Augustin,Houston Rockets,14,Guard,1.8,83.0,USA,Texas-Austin,34,1987-11-10,2008 R1 Pick 9,13
Deni,Avdija,Washington Wizards,9,Forward,2.06,95.0,Israel,Maccabi Tel Aviv,21,2001-01-03,2020 R1 Pick 9,1
Joel,Ayayi,Washington Wizards,17,Guard,1.93,82.0,France,Gonzaga,21,2000-03-05,Undrafted,0
Deandre,Ayton,Phoenix Suns,22,Center,2.11,113.0,Bahamas,Arizona,23,1998-07-23,2018 R1 Pick 1,3
Udoka,Azubuike,Utah Jazz,20,Center-Forward,2.13,122.0,Nigeria,Kansas,22,1999-09-17,2020 R1 Pick 27,1
Marvin,Bagley III,Sacramento Kings,35,Forward,2.11,107.0,USA,Duke,22,1999-03-14,2018 R1 Pick 2,3
LaMelo,Ball,Charlotte Hornets,2,Guard,2.01,82.0,USA,Illawarra,20,2001-08-22,2020 R1 Pick 3,1
Lonzo,Ball,Chicago Bulls,2,Guard,1.98,86.0,USA,UCLA,24,1997-10-27,2017 R1 Pick 2,4
Mo,Bamba,Orlando Magic,5,Center,2.13,105.0,USA,Texas-Austin,23,1998-05-12,2018 R1 Pick 6,3
Desmond,Bane,Memphis Grizzlies,22,Guard,1.96,98.0,USA,TCU,23,1998-06-25,2020 R1 Pick 30,1
Dalano,Banton,Toronto Raptors,45,Forward,2.01,93.0,Canada,Nebraska,22,1999-11-07,2021 R2 Pick 46,0
Harrison,Barnes,Sacramento Kings,40,Forward,2.03,102.0,USA,North Carolina,29,1992-05-30,2012 R1 Pick 7,9
Scottie,Barnes,Toronto Raptors,4,Forward,2.01,102.0,USA,Florida State,20,2001-08-01,2021 R1 Pick 4,0
RJ,Barrett,New York Knicks,9,Forward-Guard,1.98,97.0,Canada,Duke,21,2000-06-14,2019 R1 Pick 3,2
Will,Barton,Denver Nuggets,5,Guard,1.96,82.0,USA,Memphis,31,1991-01-06,2012 R2 Pick 40,9
Charles,Bassey,Philadelphia 76ers,23,Center-Forward,2.06,104.0,Nigeria,Western Kentucky,21,2000-10-28,2021 R2 Pick 53,0
Keita,Bates-Diop,San Antonio Spurs,31,Forward,2.03,104.0,USA,Ohio State,25,1996-01-23,2018 R2 Pick 48,3
Nicolas,Batum,LA Clippers,33,Guard-Forward,2.03,104.0,France,Le Mans,33,1988-12-14,2008 R1 Pick 25,13
Kent,Bazemore,Los Angeles Lakers,9,Guard-Forward,1.93,88.0,USA,Old Dominion,32,1989-07-01,Undrafted,9
Darius,Bazley,Oklahoma City Thunder,7,Forward,2.03,94.0,USA,Princeton HS (OH),21,2000-06-12,2019 R1 Pick 23,2
Bradley,Beal,Washington Wizards,3,Guard,1.93,94.0,USA,Florida,28,1993-06-28,2012 R1 Pick 3,9
Malik,Beasley,Minnesota Timberwolves,5,Guard,1.93,85.0,USA,Florida State,25,1996-11-26,2016 R1 Pick 19,5
DeAndre',Bembry,Brooklyn Nets,95,Guard-Forward,1.96,95.0,USA,St. Joseph's (PA),27,1994-07-04,2016 R1 Pick 21,5
Davis,Bertans,Washington Wizards,42,Forward,2.08,102.0,Latvia,Baskonia,29,1992-11-12,2011 R2 Pick 42,5
Patrick,Beverley,Minnesota Timberwolves,22,Guard,1.85,82.0,USA,Arkansas,33,1988-07-12,2009 R2 Pick 42,9
Saddiq,Bey,Detroit Pistons,41,Forward,2.01,98.0,USA,Villanova,22,1999-04-09,2020 R1 Pick 19,1
Khem,Birch,Toronto Raptors,24,Center,2.06,106.0,Canada,UNLV,29,1992-09-28,Undrafted,4
Goga,Bitadze,Indiana Pacers,88,Center-Forward,2.13,113.0,Georgia,Mega Basket,22,1999-07-20,2019 R1 Pick 18,2
Bismack,Biyombo,Phoenix Suns,8,Center,2.03,116.0,DRC,Baloncesto Fuenlabrada,29,1992-08-28,2011 R1 Pick 7,10
Nemanja,Bjelica,Golden State Warriors,8,Forward,2.06,106.0,Serbia,Fenerbahce,33,1988-05-09,2010 R2 Pick 35,6
Eric,Bledsoe,LA Clippers,12,Guard,1.85,97.0,USA,Kentucky,32,1989-12-09,2010 R1 Pick 18,11
Keljin,Blevins,Portland Trail Blazers,21,Guard,1.93,91.0,USA,Montana State,26,1995-11-24,2019 ,1
Bogdan,Bogdanovic,Atlanta Hawks,13,Guard,1.98,102.0,Serbia,Fenerbahce,29,1992-08-18,2014 R1 Pick 27,4
Bojan,Bogdanovic,Utah Jazz,44,Forward,2.01,103.0,Croatia,Fenerbahce,32,1989-04-18,2011 R2 Pick 31,7
Bol,Bol,Denver Nuggets,10,Center-Forward,2.18,100.0,Sudan,Oregon,22,1999-11-16,2019 R2 Pick 44,2
Leandro,Bolmaro,Minnesota Timberwolves,9,Forward,1.98,91.0,Argentina,FC Barcelona,21,2000-09-11,2020 R1 Pick 23,0
Isaac,Bonga,Toronto Raptors,17,Guard,2.03,82.0,Germany,Skyliners Frankfurt,22,1999-11-08,2018 R2 Pick 39,3
Devin,Booker,Phoenix Suns,1,Guard,1.96,93.0,USA,Kentucky,25,1996-10-30,2015 R1 Pick 13,6
Brandon,Boston Jr.,LA Clippers,4,Guard,1.98,85.0,USA,Kentucky,20,2001-11-28,2021 R2 Pick 51,0
Chris,Boucher,Toronto Raptors,25,Forward-Center,2.06,91.0,Saint Lucia,Oregon,28,1993-01-11,Undrafted,4
James,Bouknight,Charlotte Hornets,5,Guard,1.93,86.0,USA,Connecticut,21,2000-09-18,2021 R1 Pick 11,0
Avery,Bradley,Los Angeles Lakers,20,Guard,1.91,82.0,USA,Texas-Austin,31,1990-11-26,2010 R1 Pick 19,11
Tony,Bradley,Chicago Bulls,13,Center-Forward,2.08,112.0,USA,North Carolina,24,1998-01-08,2017 R1 Pick 28,4
Ignas,Brazdeikis,Orlando Magic,17,Forward,1.98,100.0,Canada,Michigan,23,1999-01-08,2019 R2 Pick 47,2
Mikal,Bridges,Phoenix Suns,25,Forward,1.98,95.0,USA,Villanova,25,1996-08-30,2018 R1 Pick 10,3
Miles,Bridges,Charlotte Hornets,0,Forward,2.01,102.0,USA,Michigan State,23,1998-03-21,2018 R1 Pick 12,3
Oshae,Brissett,Indiana Pacers,12,Forward-Guard,2.01,95.0,Canada,Syracuse,23,1998-06-20,Undrafted,2
Malcolm,Brogdon,Indiana Pacers,7,Guard,1.96,104.0,USA,Virginia,29,1992-12-11,2016 R2 Pick 36,5
Armoni,Brooks,Houston Rockets,7,Guard,1.91,88.0,USA,Houston,23,1998-06-05,2019 ,1
Dillon,Brooks,Memphis Grizzlies,24,Guard-Forward,2.01,102.0,Canada,Oregon,25,1996-01-22,2017 R2 Pick 45,4
Bruce,Brown,Brooklyn Nets,1,Guard-Forward,1.93,92.0,USA,Miami,25,1996-08-15,2018 R2 Pick 42,3
Jaylen,Brown,Boston Celtics,7,Guard-Forward,1.98,101.0,USA,California,25,1996-10-24,2016 R1 Pick 3,5
Moses,Brown,Dallas Mavericks,9,Center,2.18,111.0,USA,UCLA,22,1999-10-13,Undrafted,2
Sterling,Brown,Dallas Mavericks,0,Guard-Forward,1.96,99.0,USA,Southern Methodist,26,1995-02-10,2017 R2 Pick 46,4
Greg,Brown III,Portland Trail Blazers,4,Forward,2.01,93.0,USA,Texas-Austin,20,2001-09-01,2021 R2 Pick 43,0
Charlie,Brown Jr.,Philadelphia 76ers,44,Guard,1.98,90.0,USA,St. Joseph's (PA),24,1997-02-02,Undrafted,2
Troy,Brown Jr.,Chicago Bulls,7,Guard-Forward,1.98,98.0,USA,Oregon,22,1999-07-28,2018 R1 Pick 15,3
Jalen,Brunson,Dallas Mavericks,13,Guard,1.85,86.0,USA,Villanova,25,1996-08-31,2018 R2 Pick 33,3
Thomas,Bryant,Washington Wizards,13,Center-Forward,2.08,112.0,USA,Indiana,24,1997-07-31,2017 R2 Pick 42,4
Reggie,Bullock,Dallas Mavericks,25,Guard-Forward,1.98,93.0,USA,North Carolina,30,1991-03-16,2013 R1 Pick 25,8
Trey,Burke,Dallas Mavericks,3,Guard,1.83,84.0,USA,Michigan,29,1992-11-12,2013 R1 Pick 9,8
Alec,Burks,New York Knicks,18,Guard,1.98,97.0,USA,Colorado,30,1991-07-20,2011 R1 Pick 12,10
Jared,Butler,Utah Jazz,13,Guard,1.91,88.0,USA,Baylor,21,2000-08-25,2021 R2 Pick 40,0
Jimmy,Butler,Miami Heat,22,Forward,2.01,104.0,USA,Marquette,32,1989-09-14,2011 R1 Pick 30,10
Devontae,Cacok,San Antonio Spurs,18,Forward,2.01,109.0,USA,North Carolina-Wilmington,25,1996-10-08,Undrafted,2
Kentavious,Caldwell-Pope,Washington Wizards,1,Guard,1.96,93.0,USA,Georgia,28,1993-02-18,2013 R1 Pick 8,8
Facundo,Campazzo,Denver Nuggets,7,Guard,1.78,88.0,Argentina,Murcia,30,1991-03-23,Undrafted,1
Vlatko,Cancar,Denver Nuggets,31,Forward,2.03,107.0,Slovenia,San Pablo Burgos,24,1997-04-10,2017 R2 Pick 49,2
Clint,Capela,Atlanta Hawks,15,Center,2.08,116.0,Switzerland,Elan Chalon,27,1994-05-18,2014 R1 Pick 25,7
Vernon,Carey Jr.,Charlotte Hornets,22,Forward-Center,2.06,122.0,USA,Duke,20,2001-02-25,2020 R2 Pick 32,1
Jevon,Carter,Brooklyn Nets,0,Guard,1.85,91.0,USA,West Virginia,26,1995-09-14,2018 R2 Pick 32,3
Wendell,Carter Jr.,Orlando Magic,34,Center-Forward,2.08,122.0,USA,Duke,22,1999-04-16,2018 R1 Pick 7,3
Michael,Carter-Williams,Orlando Magic,7,Guard,1.96,86.0,USA,Syracuse,30,1991-10-10,2013 R1 Pick 11,8
Alex,Caruso,Chicago Bulls,6,Guard,1.96,84.0,USA,Texas A&M,27,1994-02-28,Undrafted,4
Willie,Cauley-Stein,Dallas Mavericks,33,Center,2.13,109.0,USA,Kentucky,28,1993-08-18,2015 R1 Pick 6,6
Mario,Chalmers,Miami Heat,15,Guard,1.88,86.0,USA,Kansas,35,1986-05-19,2008 R2 Pick 34,9
Justin,Champagnie,Toronto Raptors,11,Guard-Forward,1.98,93.0,USA,Pittsburgh,20,2001-06-29,Undrafted,0
Chris,Chiozza,Golden State Warriors,2,Guard,1.8,79.0,USA,Florida,26,1995-11-21,Undrafted,3
Marquese,Chriss,Dallas Mavericks,5,Forward,2.06,109.0,USA,Washington,24,1997-07-02,2016 R1 Pick 8,5
Josh,Christopher,Houston Rockets,9,Guard,1.91,98.0,USA,Arizona State,20,2001-12-08,2021 R1 Pick 24,0
Brandon,Clarke,Memphis Grizzlies,15,Forward,2.03,98.0,Canada,Gonzaga,25,1996-09-19,2019 R1 Pick 21,2
Jordan,Clarkson,Utah Jazz,00,Guard,1.93,88.0,USA,Missouri,29,1992-06-07,2014 R2 Pick 46,7
Nic,Claxton,Brooklyn Nets,33,Forward-Center,2.11,98.0,USA,Georgia,22,1999-04-17,2019 R2 Pick 31,2
Amir,Coffey,LA Clippers,7,Guard-Forward,2.01,95.0,USA,Minnesota,24,1997-06-17,Undrafted,2
John,Collins,Atlanta Hawks,20,Forward-Center,2.06,103.0,USA,Wake Forest,24,1997-09-23,2017 R1 Pick 19,4
Zach,Collins,San Antonio Spurs,23,Forward-Center,2.11,113.0,USA,Gonzaga,24,1997-11-19,2017 R1 Pick 10,3
Mike,Conley,Utah Jazz,11,Guard,1.85,79.0,USA,Ohio State,34,1987-10-11,2007 R1 Pick 4,14
Pat,Connaughton,Milwaukee Bucks,24,Guard,1.96,95.0,USA,Notre Dame,29,1993-01-06,2015 R2 Pick 41,6
Tyler,Cook,Chicago Bulls,25,Forward,2.03,116.0,USA,Iowa,24,1997-09-23,Undrafted,2
Sharife,Cooper,Atlanta Hawks,2,Guard,1.85,80.0,USA,Auburn,20,2001-06-11,2021 R2 Pick 48,0
Petr,Cornelie,Denver Nuggets,21,Forward,2.11,100.0,France,France,26,1995-07-26,2016 R2 Pick 53,0
Robert,Covington,Portland Trail Blazers,33,Forward,2.01,95.0,USA,Tennessee State,31,1990-12-14,Undrafted,8
Torrey,Craig,Indiana Pacers,13,Forward,2.01,100.0,USA,South Carolina Upstate,31,1990-12-19,Undrafted,4
Jae,Crowder,Phoenix Suns,99,Forward,1.98,107.0,USA,Marquette,31,1990-07-06,2012 R2 Pick 34,9
Jarrett,Culver,Memphis Grizzlies,23,Guard-Forward,1.98,88.0,USA,Texas Tech,22,1999-02-20,2019 R1 Pick 6,2
Cade,Cunningham,Detroit Pistons,2,Guard,1.98,100.0,USA,Oklahoma State,20,2001-09-25,2021 R1 Pick 1,0
Seth,Curry,Philadelphia 76ers,31,Guard,1.88,84.0,USA,Duke,31,1990-08-23,Undrafted,7
Stephen,Curry,Golden State Warriors,30,Guard,1.88,84.0,USA,Davidson,33,1988-03-14,2009 R1 Pick 7,12
Anthony,Davis,Los Angeles Lakers,3,Forward-Center,2.08,115.0,USA,Kentucky,28,1993-03-11,2012 R1 Pick 1,9
Ed,Davis,Cleveland Cavaliers,21,Center-Forward,2.06,99.0,USA,North Carolina,32,1989-06-05,2010 R1 Pick 13,11
Terence,Davis,Sacramento Kings,3,Guard,1.93,91.0,USA,Mississippi,24,1997-05-16,Undrafted,2
DeMar,DeRozan,Chicago Bulls,11,Guard-Forward,1.98,100.0,USA,Southern California,32,1989-08-07,2009 R1 Pick 9,12
Dewayne,Dedmon,Miami Heat,21,Center,2.13,111.0,USA,Southern California,32,1989-08-12,Undrafted,8
Donte,DiVincenzo,Milwaukee Bucks,0,Guard,1.93,92.0,USA,Villanova,24,1997-01-31,2018 R1 Pick 17,3
Hamidou,Diallo,Detroit Pistons,6,Guard,1.96,92.0,USA,Kentucky,23,1998-07-31,2018 R2 Pick 45,3
Gorgui,Dieng,Atlanta Hawks,10,Center,2.08,112.0,Senegal,Louisville,31,1990-01-18,2013 R1 Pick 21,8
Spencer,Dinwiddie,Washington Wizards,26,Guard,1.98,98.0,USA,Colorado,28,1993-04-06,2014 R2 Pick 38,7
Luka,Doncic,Dallas Mavericks,77,Forward-Guard,2.01,104.0,Slovenia,Real Madrid,22,1999-02-28,2018 R1 Pick 3,3
Luguentz,Dort,Oklahoma City Thunder,5,Guard,1.91,98.0,Canada,Arizona State,22,1999-04-19,Undrafted,2
Ayo,Dosunmu,Chicago Bulls,12,Guard,1.93,91.0,USA,Illinois,21,2000-01-17,2021 R2 Pick 38,0
Damyean,Dotson,New York Knicks,21,Guard,1.96,95.0,USA,Houston,27,1994-05-06,2017 R2 Pick 44,4
Devon,Dotson,Chicago Bulls,3,Guard,1.85,84.0,USA,Kansas,22,1999-08-02,Undrafted,1
